Name,Id,Ranking,Gender,Category,Year_Ranking,Week_ranking,Country,Brith_Code,DOB,Reach,Height,Weight,Nickname,Wins,Draws,Losses,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
"Prates, Carlos",sr:competitor:1020027,13,male,welterweight,2025,19,BRAZIL,BRA,1993-08-17,198.0,185.0,77.6,The Nightmare,21.0,0.0,7.0,3.6,54.0,4.79,48.0,0.25,100.0,83.0,0.0
"Luque, Vicente",sr:competitor:267863,14,male,welterweight,2025,19,UNITED STATES,USA,1991-11-27,193.0,180.0,77.1,The Silent Assassin,23.0,1.0,10.0,5.05,51.0,5.22,52.0,0.99,53.0,62.0,0.7
"Page, Michael",sr:competitor:254237,15,male,welterweight,2025,19,ENGLAND,ENG,1987-04-07,201.0,191.0,84.1,Venom,23.0,0.0,3.0,2.53,62.0,1.78,55.0,0.3,20.0,63.0,0.0
"Du Plessis, Dricus",sr:competitor:400461,0,male,middleweight,2025,19,,,1994-01-14,193.0,185.0,83.9,Stillknocks,23.0,0.0,2.0,6.12,48.0,4.9,54.0,2.55,50.0,50.0,0.7
"Imavov, Nassourdine",sr:competitor:742869,1,male,middleweight,2025,19,RUSSIAN FEDERATION,RUS,1995-03-01,191.0,191.0,83.9,The Sniper,16.0,0.0,4.0,4.45,55.0,3.26,58.0,0.85,32.0,78.0,1.1
"Strickland, Sean",sr:competitor:244108,2,male,middleweight,2025,19,UNITED STATES,USA,1991-02-27,193.0,185.0,83.9,,29.0,0.0,7.0,5.95,42.0,4.57,60.0,0.73,64.0,76.0,0.2
"Chimaev, Khamzat",sr:competitor:728833,3,male,middleweight,2025,19,RUSSIAN FEDERATION,RUS,1994-05-01,191.0,188.0,84.1,Borz,14.0,0.0,0.0,5.36,58.0,3.25,41.0,4.31,46.0,100.0,2.8
"Adesanya, Israel",sr:competitor:410485,4,male,middleweight,2025,19,NIGERIA,NGA,1989-07-22,203.0,193.0,83.9,The Last Stylebender,24.0,0.0,5.0,4.02,48.0,3.2,55.0,0.05,11.0,76.0,0.1
"Whittaker, Robert",sr:competitor:253377,5,male,middleweight,2025,19,NEW ZEALAND,NZL,1990-12-20,187.0,182.0,84.4,The Reaper,27.0,0.0,8.0,4.54,43.0,3.41,59.0,0.8,38.0,81.0,0.0
"Borralho, Caio",sr:competitor:820060,6,male,middleweight,2025,19,BRAZIL,BRA,1993-01-16,191.0,185.0,84.4,The Natural,17.0,0.0,1.0,3.61,60.0,2.34,62.0,1.56,60.0,76.0,0.5
"Cannonier, Jared",sr:competitor:250133,7,male,middleweight,2025,19,UNITED STATES,USA,1984-03-16,197.0,180.0,83.5,Tha Killa Gorilla,18.0,0.0,8.0,4.6,50.0,4.49,56.0,0.46,44.0,64.0,0.0
"Dolidze, Roman",sr:competitor:577053,8,male,middleweight,2025,19,GEORGIA,GEO,1988-07-15,193.0,188.0,84.4,,15.0,0.0,3.0,3.58,42.0,3.56,49.0,1.11,40.0,33.0,0.9
"Hernandez, Anthony",sr:competitor:449127,9,male,middleweight,2025,19,,,1993-10-18,191.0,183.0,84.1,Fluffy,14.0,0.0,2.0,4.5,63.0,2.61,46.0,6.27,45.0,66.0,1.9
"Vettori, Marvin",sr:competitor:278713,10,male,middleweight,2025,19,ITALY,ITA,1993-09-20,188.0,183.0,84.4,The Italian Dream,19.0,1.0,8.0,4.54,46.0,4.37,56.0,1.51,45.0,69.0,0.4
"Allen, Brendan",sr:competitor:599908,11,male,middleweight,2025,19,UNITED STATES,USA,1995-12-28,191.0,188.0,84.4,All In,24.0,0.0,7.0,3.55,53.0,3.67,45.0,1.53,38.0,56.0,1.3
"Costa, Paulo Henrique",sr:competitor:320689,12,male,middleweight,2025,19,BRAZIL,BRA,1991-04-21,183.0,185.0,83.9,The Eraser,14.0,0.0,4.0,,,,,,,,
"de Ridder, Reinier",sr:competitor:678801,13,male,middleweight,2025,19,,,,201.0,193.0,84.1,RdR,20.0,0.0,2.0,3.25,60.0,2.21,44.0,4.74,38.0,66.0,1.4
"Kopylov, Roman",sr:competitor:642158,14,male,middleweight,2025,19,,,1991-05-04,191.0,183.0,84.1,,14.0,0.0,3.0,4.96,50.0,4.86,55.0,1.17,42.0,87.0,0.0
"Magomedov, Abusupiyan",sr:competitor:457841,15,male,middleweight,2025,19,RUSSIAN FEDERATION,RUS,1990-09-02,198.0,188.0,84.1,,28.0,1.0,6.0,,,,,,,,
"Ankalaev, Magomed",sr:competitor:419867,0,male,light_heavyweight,2025,19,RUSSIAN FEDERATION,RUS,1992-06-02,191.0,191.0,93.0,,21.0,1.0,1.0,3.66,52.0,2.46,57.0,0.8,22.0,87.0,0.0
"Pereira, Alex",sr:competitor:837536,1,male,light_heavyweight,2025,19,BRAZIL,BRA,1987-07-07,203.0,194.0,93.0,Poatan,12.0,0.0,3.0,5.0,62.0,3.5,53.0,0.11,50.0,78.0,0.2
"Prochazka, Jiri",sr:competitor:251853,2,male,light_heavyweight,2025,19,CZECH REPUBLIC,CZE,1992-10-14,203.0,191.0,92.8,BJP,30.0,1.0,5.0,5.74,55.0,5.7,43.0,0.6,60.0,68.0,0.2
"Ulberg, Carlos",sr:competitor:753947,3,male,light_heavyweight,2025,19,NEW ZEALAND,NZL,1990-11-17,196.0,193.0,93.0,Black Jag,12.0,0.0,1.0,6.77,55.0,4.21,51.0,0.58,60.0,85.0,0.2
"Hill, Jamahal",sr:competitor:608564,4,male,light_heavyweight,2025,19,UNITED STATES,USA,1991-05-19,201.0,193.0,93.0,Sweet Dreams,12.0,0.0,3.0,7.05,53.0,4.02,45.0,0.0,0.0,73.0,0.0
"Blachowicz, Jan",sr:competitor:250143,5,male,light_heavyweight,2025,19,POLAND,POL,1983-02-24,198.0,188.0,93.0,,29.0,1.0,11.0,3.44,49.0,3.03,52.0,1.03,48.0,69.0,0.3
"Rakic, Aleksandar",sr:competitor:372544,6,male,light_heavyweight,2025,19,AUSTRIA,AUT,1992-02-06,198.0,194.0,93.4,Rocket,14.0,0.0,5.0,4.16,50.0,2.91,51.0,0.66,23.0,85.0,0.1
"Rountree, Khalil",sr:competitor:301658,7,male,light_heavyweight,2025,19,UNITED STATES,USA,1990-02-26,194.0,185.0,93.2,,14.0,0.0,6.0,,,,,,,,
"Reyes, Dominick",sr:competitor:347406,8,male,light_heavyweight,2025,19,,,1989-12-26,196.0,193.0,93.4,The Devastator,15.0,0.0,4.0,5.58,54.0,3.54,50.0,0.31,28.0,82.0,0.3
"Oezdemir, Volkan",sr:competitor:542115,9,male,light_heavyweight,2025,19,SWITZERLAND,CHE,1989-09-19,191.0,188.0,93.4,No Time,20.0,0.0,8.0,4.95,48.0,4.22,55.0,0.5,29.0,80.0,0.1
"Krylov, Nikita",sr:competitor:256105,10,male,light_heavyweight,2025,19,UKRAINE,UKR,1992-03-07,197.0,191.0,93.4,The Miner,30.0,0.0,10.0,4.33,54.0,2.49,44.0,2.24,38.0,53.0,1.4
