Name,Record,Fighter URL,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,N_Name,id,weight_class
Kajan Johnson,23-13-1,http://www.ufcstats.com/fighter-details/633a45d131192ffe,"5' 11""",155 lbs.,"75""",Orthodox,"Apr 21, 1984",2.47,42%,1.59,64%,1.54,37%,62%,0.2,"Johnson, Kajan",sr:competitor:374680,lightweight(146-155)
Maki Pitolo,13-9-0,http://www.ufcstats.com/fighter-details/c549573c0df4d676,"5' 10""",185 lbs.,"75""",Orthodox,"Nov 24, 1990",4.1,44%,3.93,55%,2.24,52%,50%,0.8,"Pitolo, Maki",sr:competitor:462111,middleweight(171-185)
Charles Johnson,17-7-0,http://www.ufcstats.com/fighter-details/814e5233e2acf2ee,"5' 9""",125 lbs.,"70""",Switch,"Jan 10, 1991",4.74,49%,3.62,57%,0.5,20%,67%,0.4,"Johnson, Charles",sr:competitor:894241,flyweight(116-125)
Sergey Morozov,19-5-0,http://www.ufcstats.com/fighter-details/2f6a993c7f547c13,"5' 6""",135 lbs.,"67""",Orthodox,"Jun 14, 1989",3.01,43%,2.97,61%,3.63,31%,68%,0.0,"Morozov, Sergey",sr:competitor:598014,bantamweight(126-135)
Alexandre Pantoja,29-5-0,http://www.ufcstats.com/fighter-details/a0f0004aadf10b71,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990",4.41,50%,3.92,50%,2.74,47%,68%,0.9,"Pantoja, Alexandre",sr:competitor:312032,flyweight(116-125)
Thales Leites,28-9-0,http://www.ufcstats.com/fighter-details/cfb65863d5099327,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 06, 1981",2.13,40%,2.99,52%,2.1,27%,30%,1.1,"Leites, Thales",sr:competitor:245469,middleweight(171-185)
Azat Maksum,17-1-0,http://www.ufcstats.com/fighter-details/7f1bf0c255ec8756,"5' 7""",125 lbs.,"70""",Southpaw,"Feb 02, 1995",2.8,23%,5.23,55%,2.0,22%,66%,0.5,"Maksum, Azat",sr:competitor:1005687,flyweight(116-125)
Andrei Arlovski,34-24-0 (2 NC),http://www.ufcstats.com/fighter-details/3738e68d2261e60f,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",3.82,45%,3.22,57%,0.37,35%,76%,0.2,"Arlovski, Andrei",sr:competitor:237620,heavyweight(206-265)
Mickey Gall,7-7-0,http://www.ufcstats.com/fighter-details/9e50097a89442158,"6' 2""",170 lbs.,"74""",Switch,"Jan 22, 1992",3.5,49%,4.72,49%,1.15,32%,37%,1.6,"Gall, Mickey",sr:competitor:278281,welterweight(156-170)
Guido Cannetti,10-8-0,http://www.ufcstats.com/fighter-details/d05412b513b19621,"5' 6""",135 lbs.,"68""",Southpaw,"Dec 19, 1979",3.44,55%,2.84,51%,2.27,55%,64%,0.4,"Cannetti, Guido",sr:competitor:402743,bantamweight(126-135)
Robelis Despaigne,5-2-0,http://www.ufcstats.com/fighter-details/140567899d98978a,"6' 7""",265 lbs.,"84""",Orthodox,"Sep 09, 1988",2.11,59%,2.54,46%,0.0,0%,50%,0.0,"Despaigne, Robelis",sr:competitor:1096749,heavyweight(206-265)
Hector Aldana,4-3-0,http://www.ufcstats.com/fighter-details/c487223b0289bda9,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",3.59,38%,5.08,59%,0.93,100%,0%,0.0,"Aldana, Hector",sr:competitor:449147,welterweight(156-170)
Nordine Taleb,15-7-0,http://www.ufcstats.com/fighter-details/49858bf46dabf6fb,"6' 1""",170 lbs.,"74""",Orthodox,"Jun 10, 1981",3.66,51%,2.62,66%,1.94,76%,73%,0.0,"Taleb, Nordine",sr:competitor:246043,welterweight(156-170)
Fatima Kline,7-1-0,http://www.ufcstats.com/fighter-details/745fa7b605f8e2da,"5' 6""",115 lbs.,"67""",Orthodox,"Jul 12, 2000",2.21,47%,1.68,55%,1.84,100%,50%,0.0,"Kline, Fatima",sr:competitor:1155429,strawweight(106-115)
Andrea Lee,13-11-0,http://www.ufcstats.com/fighter-details/05fa626cb33d15b8,"5' 6""",125 lbs.,"69""",Orthodox,"Feb 11, 1989",4.62,45%,3.91,61%,1.65,52%,53%,0.6,"Lee, Andrea",sr:competitor:542087,flyweight(116-125)
Ignacio Bahamondes,17-5-0,http://www.ufcstats.com/fighter-details/e4a47b07044ddd72,"6' 3""",155 lbs.,"75""",Orthodox,"Aug 27, 1997",7.09,47%,4.36,57%,0.0,0%,85%,0.5,"Bahamondes, Ignacio",sr:competitor:661805,lightweight(146-155)
Vinicius Salvador,14-7-0,http://www.ufcstats.com/fighter-details/65cdf4ec31143d86,"5' 7""",135 lbs.,"70""",Southpaw,"Jul 24, 1996",5.48,43%,6.5,48%,0.36,11%,86%,0.0,"Salvador, Vinicius",sr:competitor:820028,flyweight(116-125)
Kyle Daukaus,11-4-0 (1 NC),http://www.ufcstats.com/fighter-details/d6c0cdd7e467c440,"6' 3""",185 lbs.,"76""",Southpaw,"Feb 27, 1993",3.22,52%,2.94,42%,2.12,25%,82%,1.9,"Daukaus, Kyle",sr:competitor:598860,middleweight(171-185)
Jake Collier,13-10-0,http://www.ufcstats.com/fighter-details/92fa1401b7927da3,"6' 3""",230 lbs.,"78""",Orthodox,"Oct 25, 1988",5.8,44%,5.08,50%,0.71,33%,67%,0.6,"Collier, Jake",sr:competitor:260637,heavyweight(206-265)
Andrew Sanchez,13-7-0,http://www.ufcstats.com/fighter-details/fccf811c1e8b01c7,"6' 1""",185 lbs.,"74""",Orthodox,"Apr 08, 1988",4.3,43%,5.1,50%,2.55,36%,100%,0.0,"Sanchez, Andrew",sr:competitor:304984,middleweight(171-185)
Rinat Fakhretdinov,23-1-1,http://www.ufcstats.com/fighter-details/8f765fd5775a8873,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 28, 1991",4.78,52%,3.58,53%,3.95,34%,91%,0.2,"Fakhretdinov, Rinat",sr:competitor:890665,welterweight(156-170)
Tatsuro Taira,16-1-0,http://www.ufcstats.com/fighter-details/4461d7e47375a895,"5' 7""",125 lbs.,"70""",Orthodox,"Jan 27, 2000",2.99,60%,2.69,46%,2.73,44%,45%,1.6,"Taira, Tatsuro",sr:competitor:879899,flyweight(116-125)
Amir Albazi,17-2-0,http://www.ufcstats.com/fighter-details/6d35bf94f7d30241,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",2.72,34%,3.71,61%,1.39,32%,50%,0.5,"Albazi, Amir",sr:competitor:441656,flyweight(116-125)
Kaue Fernandes,10-2-0,http://www.ufcstats.com/fighter-details/ec13c393d029297d,"5' 9""",155 lbs.,"73""",Orthodox,"Mar 17, 1995",4.0,54%,1.32,61%,1.3,100%,76%,0.0,"Fernandes, Kaue",sr:competitor:1067124,lightweight(146-155)
Preston Parsons,11-6-0,http://www.ufcstats.com/fighter-details/9fe7af8b3fbe00a0,"5' 11""",170 lbs.,"71""",Orthodox,"Jul 15, 1995",3.54,51%,3.25,54%,3.46,36%,71%,2.3,"Parsons, Preston",sr:competitor:303310,welterweight(156-170)
Hunter Azure,9-2-0,http://www.ufcstats.com/fighter-details/2af2f2e26c4c0402,"5' 8""",145 lbs.,"69""",Orthodox,"Mar 02, 1992",3.92,53%,2.08,58%,1.97,34%,67%,1.3,"Azure, Hunter",sr:competitor:599880,bantamweight(126-135)
Jim Miller,38-19-0 (1 NC),http://www.ufcstats.com/fighter-details/d1941565abf50b16,"5' 8""",155 lbs.,"71""",Southpaw,"Aug 30, 1983",2.92,42%,3.44,56%,1.5,45%,48%,1.7,"Miller, Jim",sr:competitor:237682,lightweight(146-155)
Christian Ocon,2-1-0,http://www.ufcstats.com/fighter-details/2d6d6ffe5a446ea2,"5' 8""",135 lbs.,"69""",Orthodox,"Feb 05, 1996",1.73,53%,5.27,34%,0.0,0%,63%,0.0,"Ocon, Christian",sr:competitor:599878,bantamweight(126-135)
Nick Fiore,6-2-0,http://www.ufcstats.com/fighter-details/036e96c1c12b8a59,"5' 10""",155 lbs.,"72""",Orthodox,"Dec 10, 1997",2.83,46%,7.93,42%,2.5,45%,71%,0.0,"Fiore, Nick",sr:competitor:511380,lightweight(146-155)
Cory Sandhagen,18-5-0,http://www.ufcstats.com/fighter-details/65f09bacd3957381,"5' 11""",135 lbs.,"70""",Switch,"Apr 20, 1992",5.06,45%,3.34,56%,1.28,34%,63%,0.3,"Sandhagen, Cory",sr:competitor:464141,bantamweight(126-135)
Luigi Vendramini,9-3-0,http://www.ufcstats.com/fighter-details/2f1a257d6777096d,"5' 8""",155 lbs.,"73""",Orthodox,"Jan 16, 1996",2.82,40%,3.82,57%,1.11,15%,100%,0.6,"Vendramini, Luigi",sr:competitor:505422,lightweight(146-155)
Mike Rodriguez,11-7-0 (1 NC),http://www.ufcstats.com/fighter-details/18b602842a24f7c5,"6' 4""",205 lbs.,"82""",Southpaw,"Nov 28, 1988",4.35,53%,4.24,41%,0.0,0%,37%,0.0,"Rodriguez, Mike",sr:competitor:542135,light_heavyweight(186-205)
Dhiego Lima,17-9-0,http://www.ufcstats.com/fighter-details/e9213f53ddeca978,"6' 2""",170 lbs.,"75""",Orthodox,"Jan 31, 1989",3.12,39%,3.88,58%,1.26,34%,73%,0.6,"Lima, Dhiego",sr:competitor:542101,welterweight(156-170)
Bruno Souza,10-3-0,http://www.ufcstats.com/fighter-details/0e5c4e72237461bb,"5' 10""",145 lbs.,"70""",Orthodox,"Mar 07, 1996",3.73,39%,5.3,45%,0.5,16%,60%,0.0,"Souza, Bruno",sr:competitor:852173,featherweight(136-145)
Cameron Church,4-1-0,http://www.ufcstats.com/fighter-details/f197ce0cbe69996d,"5' 11""",155 lbs.,"72""",Orthodox,"Sep 27, 1990",4.0,40%,4.93,50%,0.0,0%,60%,1.0,"Church, Cameron",sr:competitor:742855,welterweight(156-170)
Yohan Lainesse,9-3-0,http://www.ufcstats.com/fighter-details/f998f5c102250d6e,"6' 1""",170 lbs.,"76""",Orthodox,"Aug 14, 1992",2.22,41%,3.38,58%,0.94,28%,72%,0.5,"Lainesse, Yohan",sr:competitor:843580,welterweight(156-170)
Rico Farrington,7-3-0,http://www.ufcstats.com/fighter-details/f89e6e66b9b112de,"6' 4""",170 lbs.,"79""",Southpaw,"Jun 19, 1989",6.33,41%,7.2,51%,0.0,0%,20%,0.0,"Farrington, Rico",sr:competitor:608634,welterweight(156-170)
Luis Gurule,10-1-0,http://www.ufcstats.com/fighter-details/29162be25ebef5f0,"5' 5""",125 lbs.,"64""",Orthodox,"Nov 16, 1993",5.34,48%,3.74,58%,0.68,16%,50%,0.0,"Gurule, Luis",sr:competitor:1196121,flyweight(116-125)
Islam Makhachev,27-1-0,http://www.ufcstats.com/fighter-details/275aca31f61ba28c,"5' 10""",155 lbs.,"70""",Southpaw,"Oct 27, 1991",2.63,58%,1.55,61%,3.2,53%,90%,1.1,"Makhachev, Islam",sr:competitor:251835,lightweight(146-155)
Megan Anderson,11-5-0,http://www.ufcstats.com/fighter-details/a0e75f4a13eb73f1,"6' 0""",145 lbs.,"72""",Orthodox,"Feb 11, 1990",1.76,46%,3.35,37%,0.52,25%,53%,0.5,"Anderson, Megan",sr:competitor:541999,featherweight(136-145)
Ciryl Gane,13-2-0,http://www.ufcstats.com/fighter-details/787bb1f087ccff8a,"6' 4""",245 lbs.,"81""",Orthodox,"Apr 12, 1990",5.26,61%,2.23,61%,0.7,25%,43%,0.6,"Gane, Ciryl",sr:competitor:595034,heavyweight(206-265)
Bogdan Guskov,17-3-0,http://www.ufcstats.com/fighter-details/ef5dcb10d2bd4b0f,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 12, 1992",3.96,55%,3.22,43%,0.0,0%,57%,1.2,"Guskov, Bogdan",sr:competitor:1049263,light_heavyweight(186-205)
Rogerio Bontorin,16-4-0 (2 NC),http://www.ufcstats.com/fighter-details/07a2bdaa0afdd831,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 25, 1992",2.63,52%,3.27,50%,2.9,60%,51%,1.0,"Bontorin, Rogerio",sr:competitor:528405,flyweight(116-125)
Clay Guida,38-22-0,http://www.ufcstats.com/fighter-details/c47df9303d318c67,"5' 7""",155 lbs.,"70""",Orthodox,"Dec 08, 1981",2.63,33%,3.0,61%,3.1,35%,66%,0.6,"Guida, Clay",sr:competitor:261807,lightweight(146-155)
Mana Martinez,10-4-0,http://www.ufcstats.com/fighter-details/c0386644627a7ee5,"5' 10""",135 lbs.,"70""",Orthodox,"Mar 25, 1996",4.33,48%,4.94,50%,0.72,42%,25%,0.5,"Martinez, Mana",sr:competitor:742861,bantamweight(126-135)
Paddy Pimblett,23-3-0,http://www.ufcstats.com/fighter-details/7826923b47f8d72a,"5' 10""",155 lbs.,"73""",Orthodox,"Jan 03, 1995",5.19,53%,3.14,42%,0.96,28%,50%,1.7,"Pimblett, Paddy",sr:competitor:656567,lightweight(146-155)
Arjan Bhullar,9-1-0,http://www.ufcstats.com/fighter-details/7e511f8d842a109d,"6' 1""",245 lbs.,"75""",Orthodox,"May 13, 1986",2.33,56%,3.25,59%,1.73,75%,100%,0.0,"Bhullar, Arjan",sr:competitor:374674,heavyweight(206-265)
Nicolle Caliari,8-3-0,http://www.ufcstats.com/fighter-details/fc0a4053eb8a3a59,"5' 3""",125 lbs.,"62""",Orthodox,"Nov 04, 1996",3.85,41%,5.57,55%,3.8,29%,0%,1.5,"Caliari, Nicolle",sr:competitor:1175819,flyweight(116-125)
Juan Adams,5-3-0,http://www.ufcstats.com/fighter-details/83b00f7597e5ac83,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",7.09,55%,4.06,34%,0.91,66%,57%,0.0,"Adams, Juan",sr:competitor:465491,heavyweight(206-265)
Domingo Pilarte,8-3-0 (1 NC),http://www.ufcstats.com/fighter-details/4bf6b225ff6099c4,"6' 0""",135 lbs.,"73""",Southpaw,"Jan 05, 1990",1.31,47%,2.96,40%,1.2,42%,54%,0.8,"Pilarte, Domingo",sr:competitor:462109,bantamweight(126-135)
Rostem Akman,6-2-0,http://www.ufcstats.com/fighter-details/1fc64507a0cb38cf,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",1.8,25%,3.97,57%,1.0,40%,87%,0.0,"Akman, Rostem",sr:competitor:587295,welterweight(156-170)
Brady Hiestand,9-2-0,http://www.ufcstats.com/fighter-details/7af33fc4435017f1,"5' 8""",135 lbs.,"71""",Orthodox,"Apr 30, 1999",2.7,50%,3.75,51%,4.8,46%,42%,1.1,"Hiestand, Brady",sr:competitor:827222,bantamweight(126-135)
Leslie Hernandez,4-2-0,http://www.ufcstats.com/fighter-details/fc8610cc15674ae2,"5' 3""",115 lbs.,"64""",Orthodox,"Dec 29, 1997",3.6,58%,2.53,55%,0.0,0%,54%,0.0,"Hernandez, Leslie",sr:competitor:1191041,strawweight(106-115)
Demian Maia,28-11-0,http://www.ufcstats.com/fighter-details/427b5953ac8e3a27,"6' 1""",170 lbs.,"72""",Southpaw,"Nov 06, 1977",1.8,43%,2.07,63%,2.49,24%,61%,1.0,"Maia, Demian",sr:competitor:237670,welterweight(156-170)
Taylor Johnson,5-1-0,http://www.ufcstats.com/fighter-details/552b09cbf13b6328,"6' 0""",185 lbs.,"74""",Switch,"Nov 09, 1990",5.09,60%,1.13,33%,8.49,100%,100%,0.0,"Johnson, Taylor",sr:competitor:618040,middleweight(171-185)
Ernesta Kareckaite,6-1-1,http://www.ufcstats.com/fighter-details/e4faa79383c9f214,"5' 9""",125 lbs.,"71""",Orthodox,"Jul 05, 1998",7.38,42%,6.09,48%,0.67,66%,82%,0.0,"Kareckaite, Ernesta",sr:competitor:1055781,flyweight(116-125)
Arman Tsarukyan,22-3-0,http://www.ufcstats.com/fighter-details/eae48ff31db420c2,"5' 7""",155 lbs.,"72""",Orthodox,"Oct 11, 1996",3.79,48%,1.84,53%,3.25,37%,75%,0.0,"Tsarukyan, Arman",sr:competitor:567145,lightweight(146-155)
Hannah Cifers,10-7-0,http://www.ufcstats.com/fighter-details/2244d9a2b64b8c3b,"5' 1""",115 lbs.,"62""",Orthodox,"Jun 26, 1992",4.99,44%,5.39,52%,0.26,100%,64%,0.3,"Cifers, Hannah",sr:competitor:542019,flyweight(116-125)
Salim Touahri,10-4-0,http://www.ufcstats.com/fighter-details/cbf1c7ba5408a66f,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 28, 1989",2.6,46%,2.87,58%,0.0,0%,83%,0.0,"Touahri, Salim",sr:competitor:386420,welterweight(156-170)
Erik Koch,16-6-0,http://www.ufcstats.com/fighter-details/99bd87a300079ed9,"5' 10""",170 lbs.,"71""",Southpaw,"Oct 04, 1988",2.33,42%,2.82,47%,1.02,42%,81%,1.0,"Koch, Erik",sr:competitor:258367,welterweight(156-170)
Bruno Silva,14-6-2 (1 NC),http://www.ufcstats.com/fighter-details/294aa73dbf37d281,"5' 4""",125 lbs.,"65""",Orthodox,"Mar 16, 1990",3.54,49%,4.08,52%,1.92,25%,60%,0.2,"Silva, Bruno",sr:competitor:588493,flyweight(116-125)
Sijara Eubanks,8-7-0,http://www.ufcstats.com/fighter-details/4234f0097c83fa62,"5' 4""",125 lbs.,"67""",Orthodox,"Apr 27, 1985",4.3,43%,3.43,57%,1.9,44%,66%,0.3,"Eubanks, Sijara",sr:competitor:542047,bantamweight(126-135)
Dean Barry,4-2-0,http://www.ufcstats.com/fighter-details/a6f3d15cb84334bb,"5' 10""",170 lbs.,"72""",Orthodox,"Jul 03, 1992",9.31,40%,4.66,51%,0.0,0%,100%,0.0,"Barry, Dean",sr:competitor:438896,welterweight(156-170)
Tagir Ulanbekov,16-2-0,http://www.ufcstats.com/fighter-details/f00ac08ab056af5d,"5' 7""",125 lbs.,"70""",Southpaw,"Aug 07, 1991",3.13,47%,3.2,49%,3.56,47%,63%,1.7,"Ulanbekov, Tagir",sr:competitor:723645,flyweight(116-125)
Andre Muniz,24-7-0,http://www.ufcstats.com/fighter-details/886264a0c9f4ea5e,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 17, 1990",2.04,49%,2.33,51%,4.02,49%,35%,1.2,"Muniz, Andre",sr:competitor:613522,middleweight(171-185)
Polyana Viana,13-8-0,http://www.ufcstats.com/fighter-details/9673a497a9da119a,"5' 5""",115 lbs.,"67""",Orthodox,"Jun 14, 1992",2.74,40%,2.5,53%,0.75,33%,35%,1.7,"Viana, Polyana",sr:competitor:408281,strawweight(106-115)
Justin Sumter,7-3-0,http://www.ufcstats.com/fighter-details/31f9a1f56cbb6ac5,"6' 2""",185 lbs.,"80""",Southpaw,"Nov 16, 1989",2.68,48%,7.64,34%,2.87,100%,0%,0.0,"Sumter, Justin",sr:competitor:465485,middleweight(171-185)
Nick Klein,6-2-0,http://www.ufcstats.com/fighter-details/7eaa5e31c2dd86aa,"6' 1""",185 lbs.,"77""",Orthodox,"Sep 08, 1995",3.22,60%,3.33,47%,3.33,20%,66%,1.7,"Klein, Nick",sr:competitor:1196119,middleweight(171-185)
Cesar Almeida,7-1-0,http://www.ufcstats.com/fighter-details/64d47ef881a437a4,"6' 1""",185 lbs.,"74""",Orthodox,"Mar 28, 1988",4.16,58%,2.32,48%,0.0,0%,60%,0.3,"Almeida, Cesar",sr:competitor:1026683,middleweight(171-185)
Alan Baudot,8-3-0 (2 NC),http://www.ufcstats.com/fighter-details/c9a94278df042f46,"6' 3""",243 lbs.,"79""",Orthodox,"Feb 01, 1988",5.36,58%,4.82,46%,0.0,0%,62%,0.0,"Baudot, Alan",sr:competitor:750505,heavyweight(206-265)
Luke Sanders,13-5-0,http://www.ufcstats.com/fighter-details/96428b9e9bd048ea,"5' 6""",135 lbs.,"67""",Southpaw,"Dec 12, 1985",6.61,52%,4.37,50%,0.71,30%,72%,0.2,"Sanders, Luke",sr:competitor:318095,bantamweight(126-135)
Stevie Ray,23-9-0,http://www.ufcstats.com/fighter-details/31a13532e724ca2b,"5' 10""",155 lbs.,"70""",Southpaw,"Mar 25, 1990",3.73,44%,2.93,54%,0.75,46%,55%,0.6,"Ray, Stevie",sr:competitor:287355,lightweight(146-155)
Cheyanne Vlismas,7-3-0,http://www.ufcstats.com/fighter-details/4959f10a62f3fec3,"5' 3""",115 lbs.,"63""",Switch,"Jun 25, 1995",4.93,50%,2.57,64%,0.25,33%,66%,0.2,"Vlismas, Cheyanne",sr:competitor:436934,strawweight(106-115)
Trey Waters,9-1-0,http://www.ufcstats.com/fighter-details/31dbfbe4e7a6727c,"6' 5""",170 lbs.,"77""",Orthodox,"Feb 21, 1995",6.43,44%,5.61,56%,0.44,33%,85%,0.9,"Waters, Trey",sr:competitor:936061,welterweight(156-170)
Darren Elkins,29-12-0,http://www.ufcstats.com/fighter-details/92a9aa9c93192871,"5' 10""",145 lbs.,"71""",Orthodox,"May 16, 1984",3.4,38%,3.34,51%,2.87,34%,56%,1.1,"Elkins, Darren",sr:competitor:246019,featherweight(136-145)
Anthony Hernandez,14-2-0 (1 NC),http://www.ufcstats.com/fighter-details/093e1f5bb73850be,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 18, 1993",4.5,63%,2.61,46%,6.27,45%,66%,1.9,"Hernandez, Anthony",sr:competitor:449127,middleweight(171-185)
Shamil Abdurakhimov,20-8-0,http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",2.41,44%,3.02,55%,1.01,23%,45%,0.1,"Abdurakhimov, Shamil",sr:competitor:244080,heavyweight(206-265)
Torrez Finney,11-0-0,http://www.ufcstats.com/fighter-details/fbb60f24af5d5a02,"5' 8""",185 lbs.,"75""",Orthodox,"Oct 24, 1998",1.77,68%,1.74,48%,9.31,60%,0%,1.1,"Finney, Torrez",sr:competitor:1063896,middleweight(171-185)
Jesse Ronson,21-12-0 (1 NC),http://www.ufcstats.com/fighter-details/5580771f383e141f,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 24, 1985",3.54,47%,3.39,57%,0.46,28%,57%,0.5,"Ronson, Jesse",sr:competitor:612602,lightweight(146-155)
